City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,zhigansk,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
81,sao jose da coroa grande,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
82,bambous virieux,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
83,hirara,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
84,severodvinsk,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
85,georgetown,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
86,beloha,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
87,westport,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
88,lagos,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
89,saint-philippe,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
90,huejuquilla el alto,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
91,cabo san lucas,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
92,tuktoyaktuk,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
93,ancud,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
94,saint-francois,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
95,coquimbo,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
96,albany,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
97,kaitangata,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
98,saskylakh,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
99,sabang,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
100,bredasdorp,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
101,port lincoln,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
102,nikolskoye,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
103,guerrero negro,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
104,le vauclin,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
105,saint-denis,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
106,paamiut,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
107,mayor pablo lagerenza,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
108,te anau,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
109,kuytun,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
110,svetlogorsk,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
111,harboore,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
112,nuqui,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
113,perigueux,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
114,riyadh,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
115,porto novo,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
116,newport,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
117,tabiauea,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
118,blagoyevo,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
119,nizhneyansk,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
120,chulakivka,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
121,acapulco,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
122,pop,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
123,chokurdakh,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
124,geraldton,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
125,tezu,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
126,maloshuyka,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
127,mitu,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
128,bismarck,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
129,ostrovnoy,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
130,synya,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
131,port alfred,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
132,cabimas,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
133,norman wells,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
134,matagami,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
135,shenzhen,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
136,grindavik,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
137,lompoc,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
138,fort nelson,48.85,2.4333,279.22,82,few clouds,1.54,FR,1678829080
